Estación|Nombre estación|Red|Nombre red|Canales|Instrumentos|Región|Provincia|Comuna|Inicio registros|Término registros|Latitud|Longitud|Datum|Elevación
YCA|Yauca|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|Nanometrics Trillium 40 Sec Response/Nanometric Tr|No aplica|No aplica|No aplica|2011-02-11|2599-12-31|-15.611|-74.552|WGS84|80.0
QLK0|Quilca|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|Nanometrics Trillium 40 Sec Response/Nanometric Tr|No aplica|No aplica|No aplica|2012-07-01|2599-12-31|-16.7154|-72.4278|WGS84|85.0
TOQ0|Toquepala|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|Nanometrics Trillium 40 Sec Response/Nanometric Tr|No aplica|No aplica|No aplica|2010-11-30|2599-12-31|-17.304|-70.643|WGS84|2586.0
YCA0|Yauca|PE|Instituto Geofisico del Peru|BHE;BHN;BHZ|Nanometrics Trillium 40 Sec Response/Nanometric Tr|No aplica|No aplica|No aplica|2011-02-11|2599-12-31|-15.611|-74.552|WGS84|80.0
AHML|Horco Molle, Tucuman Argentina|RI|INPRES|HHE;HHN;HHZ;LOG|Reftek 130 Datalogger;Guralp CMG40T_30sec/Reftek 130 Datalogger|No aplica|No aplica|No aplica|2001-05-14|2599-12-31|-26.7847|-65.3345|WGS84|670.0
CYA|Choya, Catamarca Argentina|RI|INPRES|HHE;HHN;HHZ;LOG|Reftek 130 Datalogger;Guralp CMG40T_30sec/Reftek 130 Datalogger|No aplica|No aplica|No aplica|2001-05-14|2599-12-31|-28.4417|-65.802|WGS84|570.0
RTLL|Cerro Vilcun, San Juan Argentina|RI|INPRES|HHE;HHN;HHZ|Guralp CMG40T_30sec/Dummy Datalogger used in ignor|No aplica|No aplica|No aplica|2001-05-14|2599-12-31|-31.3292|-68.4748|WGS84|690.0
SLA|San Lorenzo|RI|INPRES|EHE;EHN;EHZ|S-13, 1 Hz, 629 V/m/s, 3600 ohm coil-RT130, gain 1|No aplica|No aplica|No aplica|2010-03-08|2599-12-31|-24.721|-65.503|WGS84|1520.0
USHA|Ushuaia, Tierra del Fuego Argentina|RI|INPRES|BHE;BHN;BHZ|Streckeisen STS-2 G2/Guralp DM24 Datalogger|No aplica|No aplica|No aplica|2011-05-14|2599-12-31|-54.8319|-68.4333|WGS84|107.0
USHA|Ushuaia, Tierra del Fuego Argentina|RI|INPRES|BHE;BHN;BHZ|STS-2, 120 s, 1500 V/m/s, generation 3 electronics|No aplica|No aplica|No aplica|2011-05-14|2599-12-31|-54.8319|-68.4333|WGS84|107.0
VCA|Vinchina, La Rioja Argentina|RI|INPRES|HHE;HHN;HHZ;LOG|Reftek 130 Datalogger;Guralp CMG40T_30sec/Reftek 130 Datalogger|No aplica|No aplica|No aplica|2001-05-14|2599-12-31|-28.7363|-68.2056|WGS84|1500.0
YJA|Yavi, Jujuy Argentina|RI|INPRES|EHE;EHN;EHZ;LOG|Reftek 130 Datalogger;Geotech S-13 short-period seismometer/Reftek 130 D|No aplica|No aplica|No aplica|2001-05-14|2599-12-31|-22.1759|-65.5142|WGS84|3510.0
